,city,Lat,Lon,Wind Speed,Humidity,Temperature,Cloud Cover
533,eldikan,,,,,,
534,waipawa,-39.94,176.59,3.76,85,54.93,88
535,walvis bay,-22.95,14.51,11.48,77,72.3,0
536,enumclaw,47.2,-121.99,1.97,100,46.4,1
537,saint george,39.45,22.34,9.17,64,69.8,0
538,jumla,29.28,82.18,1.86,96,31.31,88
539,kita,35.76,139.74,5.82,67,66.2,20
540,valentin gomez farias,24.05,-104.7,4.43,93,50,5
541,rokiskis,55.97,25.58,16.96,96,45.62,92
542,aflu,,,,,,
543,talagante,-33.66,-70.93,2.24,37,71.6,75
544,aitape,-3.15,142.36,0.51,97,81.03,64
545,komsomolskiy,67.55,63.78,18.52,92,25.91,92
546,salgar,5.96,-75.98,1.63,57,77,20
547,padang,-0.92,100.36,2.64,100,80.58,36
548,kempele,64.91,25.51,8.05,91,32,12
549,reconquista,-29.14,-59.64,10.8,83,71.58,0
550,carhuaz,-9.28,-77.65,2.42,77,53.09,68
551,ellensburg,47,-120.55,3.36,80,41,1
552,zhezkazgan,47.8,67.71,10.47,44,56.37,68
553,chesterville,44.55,-70.09,4.7,63,37.4,90
554,voronovytsya,49.11,28.68,14.05,72,56.82,56
555,bisert,56.85,59.05,10.36,72,32.12,68
556,wanning,48.64,13.53,2.24,87,46.4,75
557,carbonia,39.17,8.53,10.29,88,71.6,20
558,garoua boulai,5.88,14.55,10.47,61,84.9,32
559,binzhou,37.38,117.96,12.71,34,49.71,12
560,belogorsk,45.06,34.59,12.59,83,57.45,8
561,oswego,37.17,-95.11,5.21,100,53.6,1
562,qasigiannguit,68.82,-51.19,18.34,44,37.4,75
563,lingao,19.91,109.69,7.78,92,73.97,0
564,jaisalmer,26.91,70.91,5.66,37,75.45,0
565,carayao,-25.18,-56.4,7.67,71,75.63,0
566,halalo,,,,,,
567,belawan,-0.59,114.46,2.19,96,73.79,64
568,aztec,36.82,-107.99,8.05,69,39.2,1
569,saint-francois,46.42,3.91,4.7,87,44.6,90
570,tabou,4.42,-7.36,9.46,100,82.11,8
571,akcakoca,41.09,31.12,1.97,61,52.91,0
572,george town,5.42,100.33,3.36,94,80.6,75
573,lazaro cardenas,28.39,-105.62,2.75,76,53.6,5
574,konibodom,40.3,70.43,15.66,28,69.8,40
575,meyungs,,,,,,
576,ouadda,8.07,22.4,7.23,85,79.64,24
577,odweyne,,,,,,
578,swiecie,53.41,18.45,17.22,61,48.2,75
579,trinidad,-33.52,-56.9,9.17,63,66.2,75
580,hamilton,32.3,-64.78,20.8,64,75.2,75
581,kamaishi,39.28,141.86,7.11,90,52.95,0
582,loa janan,-0.58,117.09,2.19,91,78.33,64
583,pemangkat,,,,,,
584,gwanda,-20.94,29,17.07,17,83.96,0
585,utevka,52.9,50.95,8.23,73,36.66,32
586,davila,18.47,120.58,28.14,96,79.46,20
587,dien bien,,,,,,
588,shingu,33.72,135.99,12.82,100,62.4,0
589,ouesso,1.61,16.05,2.64,76,84.59,8
590,kayerkan,69.35,87.76,24.9,94,37.16,92
591,cap-aux-meules,47.38,-61.86,11.41,51,37.4,75
592,zemetchino,53.5,42.62,7,77,36.66,88
593,mayna,53,91.49,1.97,95,28.07,0
594,fairbanks,64.84,-147.72,2.98,100,30.2,90
595,neuruppin,52.92,12.81,12.75,61,46.4,75
596,hermosillo,29.09,-110.96,2.53,82,62.6,5
597,babanusah,,,,,,
598,arboledas,7.64,-72.8,13.87,52,87.8,20
599,kodarma,24.47,85.59,1.86,75,67.26,0
600,kudahuvadhoo,2.67,72.89,9.01,100,81.3,76
601,khani,41.96,42.96,4.7,87,51.8,40
602,dalvik,57.79,14.13,13.87,86,33.8,88
603,samarai,-10.62,150.67,9.57,100,79.91,68
604,bud,62.91,6.91,6.67,86,37.4,40
605,karratha,-20.74,116.85,12.82,48,76.26,0
606,lopandino,52.46,34.82,17.29,84,45.62,68
607,auch,43.65,0.59,6.93,54,53.6,90
608,rock springs,41.59,-109.2,12.75,52,46.4,1
609,isla mujeres,21.23,-86.73,3.36,74,80.6,20
610,zagyvaszanto,47.78,19.67,6.93,82,62.6,0
611,alofi,-19.06,-169.92,4.7,94,73.4,92
612,tezu,27.93,96.16,2.19,55,61.46,0
613,utiroa,,,,,,
614,vaitape,-16.52,-151.75,6.22,100,76.67,48
615,baihar,22.11,80.55,5.32,53,70.68,0
616,pozo colorado,-23.49,-58.8,12.26,80,77.25,0
617,hofn,64.25,-15.21,3.76,100,35.13,24
618,tarakan,3.3,117.63,4.65,93,82.83,20
619,bystryy istok,52.37,84.39,3.53,65,31.31,0
620,deputatskiy,69.3,139.9,3.09,79,0.66,88
621,gizo,31.8,34.94,11.41,46,73.4,0
622,novosheshminsk,55.06,51.22,12.26,92,34.23,56
623,goderich,43.74,-81.71,16.96,100,41.57,92
624,marsala,37.8,12.44,25.28,78,75.2,20
